Name: ,Specialization,Highest degree: ,Experience,Fee,Degrees:,Wait_time,Number of Patients:,Rating,Location
Dr. Ameet Kumar,Neurologist,M.B.B.S.,7 Years,Not Available,F.C.P.S.,Under 15 Min,73,99%,Karachi
Dr. Dileep Kumar,Neurologist,M.B.B.S,15 Years,"Rs. 2,000",F.C.P.S. (Neurology),Under 15 Min,500,100%,Karachi
Dr. Afreen Zubair,Neurologist,MBBS,6 Years,"Rs. 1,000",FCPS (Neurology),Under 15 Min,53,100%,Karachi
Dr. Muhammad Hassan Shaikh,Neurologist,MBBS,8 Years,"Rs. 2,000",FCPS (Neurology),Under 15 Min,48,100%,Karachi
Assist. Prof. Dr. Junaid Ahmed Shaikh,Neurologist,MBBS,10 Years,"Rs. 1,000",FCPS (Neurology),30 - 45 Min,91,96%,Karachi
Dr. Faizan Memon,Neurologist,M.B.B.S.,7 Years,"Rs. 1,500",F.C.P.S. (Neurology),Under 15 Min,10,100%,Karachi
Dr. Atif Saeed Anjum,Neurologist,.B.B.S.,24 Years,"Rs. 3,000",DCN,30 - 45 Min,126,98%,Karachi
Dr. Aijaz Ali,Neurologist,MBBS,10 Years,"Rs. 2,000",FCPS (Neurology),Under 15 Min,216,93%,Karachi
Dr. Shakil Ahmad,Neurologist,M.B.B.S,30 Years,"Rs. 1,500","DCN,  MD (Neurology)",15 - 30 Min,834,97%,Karachi
Dr. Muhammad Rizwan Sheikh,Neurologist,MBBS,18 Years,"Rs. 1,500",Diploma in Clinical Neurology,Under 15 Min,513,98%,Karachi
Assoc. Prof. Dr. Muhammad Hazim Yousuf Brohi,Neurologist,MBBS,25 Years,"Rs. 3,000",FCPS (Neurology),Under 15 Min,34,95%,Karachi
Dr. Mohsina Syed,Neurologist,M.B.B.S.,8 Years,"Rs. 1,000",F.C.P.S. (Neurology),Under 15 Min,216,99%,Karachi
Dr. Aziz B. Sonawalla,Neurologist,MBBS,30 Years,Not Available,"M.D (Medicine),  M.D (Neurology)",15 - 30 Min,53,100%,Karachi
Dr. Ubaid Ahmed Khanzada,Neurologist,M.B.B.S.,13 Years,Not Available,Diploma of Clinical Neurology (DCN),15 - 30 Min,60,93%,Karachi
Dr. Ravi Shanker,Neurologist,MBBS,"100%
                                                                                    (12)",Not Available,FCPS (Neurology),10 Years,12,,Karachi
Dr. Qurat Ul Ain,Neurologist,M.B.B.S.,7 Years,Not Available,F.C.P.S. (Neurology),15 - 30 Min,127,100%,Karachi
Dr. Aftab Ahmed Leghari,"Neurologist, Pain Management Specialist",MBBS,15 Years,Not Available,F.C.P.S. (Neurology),Under 15 Min,212,97%,Karachi
Dr. Jai Perkash,Neurologist,M.B.B.S,8 Years,Not Available,F.C.P.S. (Neurology),Under 15 Min,378,99%,Karachi
Dr. S. Saba Zaidi,Neurologist,M.B.B.S.,10 Years,Not Available,F.C.P.S.,Under 15 Min,185,100%,Karachi
Dr. Jay Sing Rana,Neurologist,MBBS,8 Years,Not Available,"FCPS (Neurology),  D C N (UoK)",Under 15 Min,202,99%,Karachi
Dr. Samar Altaf,Neurologist,M.B.B.S,7 Years,Not Available,F.C.P.S (Neurology),15 - 30 Min,45,94%,Karachi
Dr. Muhammad Shahid Mustafa,Neurologist,MBBS,31 Years,Not Available,"Diplomate Of American Board Of Neurology,  Diplomate American Board of  Electrodiagnostic Medicine",Under 15 Min,223,98%,Karachi
Dr. Shabbir Saifuddin Rangwala,Neurologist,M.B.B.S,"100%
                                                                                    (7)",Not Available,Diploma in Clinical Neurology,25 Years,7,,Karachi
Dr. Sadia Khan,Neurologist,M.B.B.S,20 Years,Not Available,"Neurology Graduate,  Fellowship In Neurophysiology,  MD",Under 15 Min,26,100%,Karachi
Dr. Santosh Kumar Pamnani,Neurologist,MBBS,19 Years,Not Available,DCN (UK),Under 15 Min,57,100%,Karachi
Dr. Anila Umar,Neurologist,MBBS,10 Years,Not Available,FCPS (Neurology),Under 15 Min,187,95%,Karachi
Dr. Wasim Akhtar,Neurologist,MBBS,18 Years,Not Available,FCPS,Under 15 Min,52,95%,Karachi
Dr. M. Farooq Khan,Neurologist,MBBS,36 Years,Not Available,"FCPS (Neurology),  DCN (Neurology)",15 - 30 Min,234,97%,Karachi
Assoc. Prof. Dr. Bashir Ahmed Soomro,Neurologist,MBBS,21 Years,Not Available,Diploma in Clinical Neurology,15 - 30 Min,7,100%,Karachi
Dr. Rabel Hyder,Neurologist,MBBS,"100%
                                                                                    (4)",Not Available,PGD in Neurology,30 - 45 Min,4,,Karachi
Dr. Saima Jawaed,"Neurologist, Diabetologist",MBBS,21 Years,Not Available,"Dip in Diabetes,  DCN",Under 15 Min,75,98%,Karachi
Dr. Syed Muhammad Atique,Neurologist,M.B.B.S.,21 Years,Not Available,F.C.P.S.,15 Years,not available,98%,Karachi
Dr. Zafar Ullah,Neurologist,MBBS,18 Years,Not Available,DCN,Under 15 Min,71,83%,Karachi
Dr. Asad Akram Faruki,Neurologist,M.B.B.S.,18 Years,Not Available,F.C.P.S. (Neurology),6 Years,not available,83%,Karachi
Dr. Rajesh Kumar Khatri,Neurologist,MBBS,18 Years,Not Available,FCPS (Neurology),12 Years,not available,83%,Karachi
Dr. Qamar un Nisa,Neurologist,MBBS,18 Years,Not Available,FCPS (Neurology),26 Years,not available,83%,Karachi
Asst. Prof. Dr. Abdul Malik,Neurologist,MBBS,18 Years,Not Available,"DCN,  M.D",25 Years,not available,83%,Karachi
Dr. Sarfaraz Ahmed,Neurologist,MBBS,18 Years,Not Available,FCPS (Neurology),8 Years,not available,83%,Karachi
Dr. Ashfaq A Sharif,Neurologist,MBBS,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Azra Zafar,Neurologist,MBBS,18 Years,Not Available,FCPS,not available,not available,83%,Karachi
Assoc. Prof. Dr. Bhojo Asumal Khealani,Neurologist,MBBS,18 Years,Not Available,"FCPS (Neurology),  IDABCN (CNP),  IDABCN (NIOM)",17 Years,not available,83%,Karachi
Dr. Farrukh Shahab Khan,Neurologist,MBBS,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Feeroza Saleem Jessani,Neurologist,MBBS,18 Years,Not Available,FCPS,not available,not available,83%,Karachi
Dr. Khalid Sher,Neurologist,MBBS,18 Years,Not Available,"MD,  FCPS",18 Years,not available,83%,Karachi
Prof Dr. Mohammad Abdullah,Neurologist,MBBS,18 Years,Not Available,FCPS (Neuro),28 Years,not available,83%,Karachi
Dr. Mohammad Amjad Khan,Neurologist,MBBS,18 Years,Not Available,FASCIP,not available,not available,83%,Karachi
Dr. Mohammad Wasay,Neurologist,MBBS,18 Years,Not Available,MD,not available,not available,83%,Karachi
Dr. Mubashira Hashmi,Neurologist,MBBS,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Nabila Soomro,Neurologist,MBBS,18 Years,Not Available,FCPS,not available,not available,83%,Karachi
Dr. Nadeem Memon,Neurologist,MBBS,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Naveeduddin Ahmed,Neurologist,MBBS,18 Years,Not Available,FCPS,not available,not available,83%,Karachi
Dr. Qasim Ahmed,Neurologist,MBBS,18 Years,Not Available,DCN,not available,not available,83%,Karachi
Dr. Saad Shafqat,Neurologist,MBBS,18 Years,Not Available,"PhD,  MD",not available,not available,83%,Karachi
Dr. Sarwar Jamil Siddiqui,Neurologist,MBBS,18 Years,Not Available,MRCP,not available,not available,83%,Karachi
Dr. Ayeesha Kamran Kamal,Neurologist,MBBS,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Nadeem A. Memon,Neurologist,MBBS,18 Years,Not Available,FCPS (Neurology),not available,not available,83%,Karachi
Dr. Naila Naeem Shahbaz,Neurologist,MBBS,18 Years,Not Available,FCPS,not available,not available,83%,Karachi
Dr. Yahya Khan,Neurologist,MBBS,18 Years,Not Available,"MCPS,  DCM",not available,not available,83%,Karachi
Dr. Ambreen Iqrar,Neurologist,,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Shaista Siddiqi,Neurologist,FCPS,18 Years,Not Available,MBBS,not available,not available,83%,Karachi
Dr. Syed Najam Zamir,Neurologist,MBBS,18 Years,Not Available,DCN,not available,not available,83%,Karachi
Dr. Munawar Ali,Neurologist,MBBS,18 Years,Not Available,"DCN,  MD",not available,not available,83%,Karachi
Dr. Mohan Lal,Neurologist,,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Umar Farooq,Neurologist,,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Saeed Akhter,Neurologist,,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Mohan Lal,Neurologist,,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Sher Khan Junejo,Neurologist,MBBS,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Abdul Latif,Neurologist,MBBS,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Jamshed Alam But,Neurologist,MBBS,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Lateef Sonijo,Neurologist,,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Nadir Ali Syed,"Psychiatrist, Neurologist",M.B.B.S,18 Years,Not Available,"Diplomate,  American Board of Psychiatry and Neurology,  American Board of Electrodiagnostic Medicine",27 Years,not available,83%,Karachi
Dr. Abid Nasir,Neurologist,MBBS,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Ali Khan,Neurologist,,18 Years,Not Available,,not available,not available,83%,Karachi
Assist. Prof. Dr. Naveed Uddin Ahmed,Neurologist,MBBS,18 Years,Not Available,FCPS,24 Years,not available,83%,Karachi
Dr. Syed Ahmed Asif,Neurologist,MBBS,18 Years,Not Available,FCPS (Neurology),24 Years,not available,83%,Karachi
Prof. Dr. Shaukat Ali,Neurologist,MBBS,18 Years,Not Available,FCPS,28 Years,not available,83%,Karachi
Dr. Zarine R. Mogal,Neurologist,MBBS,18 Years,Not Available,"MD-Neurology,  Fellowship in Epileptology (Australia),  Diploma in Clinical Neurology",20 Years,not available,83%,Karachi
Dr. M.L Chellani,Neurologist,MBBS,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Ali Jan,Neurologist,,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Latif Mian,Neurologist,MBBS,18 Years,Not Available,FCPS (Neuro),11 Years,not available,83%,Karachi
Dr. Shazia Jatoi,Neurologist,,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Nadeem Memon,Neurologist,MBBS,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Shaista Anwar Siddiqui,Neurologist,,18 Years,Not Available,,not available,not available,83%,Karachi
Dr. Farah Minhas,Neurologist,MBBS,18 Years,Not Available,MD,not available,not available,83%,Karachi
Dr. Syed Waseem Akhter,Neurologist,,18 Years,Not Available,,not available,not available,83%,Karachi
Prof. Brig. (R) Dr. Anwar Ul Haq,"ENT Specialist, ENT Surgeon",M.B.B.S.,33 Years,"Rs. 3,000","F.C.P.S.,  M.C.P.S,  FICS (USA),  OJT (London)",15 - 30 Min,2898,98%,Lahore
Prof. Dr. Ayub Ahmad Khan,"ENT Specialist, Cosmetic Surgeon, Cancer Surgeon, Head and Neck Surgeon, ENT Surgeon",M.B.B.S,35 Years,"Rs. 3,000","M.C.P.S (ENT),  F.C.P.S (ENT),  M.C.P.S (HPE),  BACO fellowship",Under 15 Min,962,98%,Lahore
Dr. Zubair Ahmed,"ENT Specialist, ENT Surgeon",M.B.B.S.,10 Years,"Rs. 1,500",F.C.P.S.,Under 15 Min,648,100%,Lahore
Assoc. Prof. Dr. Bakht Aziz,"ENT Specialist, ENT Surgeon",M.B.B.S,16 Years,"Rs. 2,000","F.C.P.S (ENT),  CMT (Liverpool,  U.K),  B.SC",15 - 30 Min,4765,99%,Lahore
Dr. Mohammad Ali Raza,"ENT Specialist, Family Physician, ENT Surgeon, General Physician",MBBS,13 Years,"Rs. 2,000",MCPS,Under 15 Min,92,98%,Lahore
Prof. Dr. Farrukh Mehmood,"ENT Specialist, ENT Surgeon",MBBS,34 Years,"Rs. 4,000","FCPS,  FACS",15 - 30 Min,659,97%,Lahore
Prof. Dr. Babar Hussain Khan,"ENT Specialist, ENT Surgeon",MBBS,28 Years,"Rs. 3,000","DLO,  MCPS,  FCPS",Under 15 Min,286,99%,Lahore
Brig. (R) Dr. Zubair Ahmed,"ENT Specialist, Head and Neck Surgeon, ENT Surgeon",MBBS(KE),30 Years,"Rs. 3,500","FRCS (Glasgow),  DLO (London),  FCPS (Otolaryngology),  FICS (USA)",15 - 30 Min,778,98%,Lahore
Prof. Dr. Muhammad Riaz Chaudhary,"ENT Specialist, ENT Surgeon",MBBS,32 Years,"Rs. 2,000",FCPS (ENT),Under 15 Min,810,97%,Lahore
Dr. Syed Nadeem Raza,"ENT Specialist, ENT Surgeon",MBBS,"100%
                                                                                    (7)","Rs. 3,000","DLO,  FCPS",15 - 30 Min,7,,Lahore
Dr. Mohammad Qamar Nasir,"ENT Specialist, ENT Surgeon",M.B.B.S,8 Years,"Rs. 3,000",F.C.P.S. (Oto-Rhino-Laryngology),Under 15 Min,391,99%,Lahore
Dr. Maqsood Ahmad,"ENT Specialist, ENT Surgeon",M.B.B.S.,19 Years,"Rs. 1,500","D.L.O,   F.C.P.S.",Under 15 Min,545,98%,Lahore
Dr. Syed Qasim Ali Jafri,"ENT Specialist, ENT Surgeon",M.B.B.S.,10 Years,"Rs. 2,000",F.C.P.S.,Under 15 Min,110,100%,Lahore
Prof. Dr. Rizwan Akbar Bajwa,"ENT Specialist, ENT Surgeon",MBBS,15 Years,"Rs. 4,000",FCPS (ENT),Under 15 Min,264,100%,Lahore
Dr. Muhammad Ali,"ENT Specialist, ENT Surgeon",M.B.B.S.,20 Years,"Rs. 3,000","MCPS (ENT),  M.S ENT",Under 15 Min,91,93%,Lahore
Dr. Ijaz Nazir,"ENT Surgeon, ENT Specialist",M.B.B.S,30 Years,"Rs. 2,000",D.L.O,Under 15 Min,29,93%,Lahore
Dr. Ziad Jamil,"ENT Specialist, ENT Surgeon",MBBS,7 Years,"Rs. 1,000",MCPS (Oto-Rhino-Laryngology),Under 15 Min,1516,100%,Lahore
Dr. Dawood Saleem,"ENT Specialist, ENT Surgeon",MBBS,12 Years,"Rs. 1,500",FCPS,Under 15 Min,456,100%,Lahore
Dr. Shahid Ghafoor Malik,"ENT Specialist, Head and Neck Surgeon, ENT Surgeon",M.B.B.S,12 Years,"Rs. 2,000",F.C.P.S. (ENT),Under 15 Min,145,99%,Lahore
Brig (R). Prof. Dr. Z.M. Raahat,"ENT Specialist, ENT Surgeon",MBBS,37 Years,"Rs. 2,500","DLO (AFPGMI),  FCPS (ENT)",Under 15 Min,529,96%,Lahore
Dr. Ali Nasir,"ENT Specialist, ENT Surgeon",MBBS,10 Years,"Rs. 2,000",MS (Oto-Rhino-Laryngology),15 - 30 Min,74,100%,Lahore
Dr. Ali Akhtar,"ENT Specialist, ENT Surgeon",MBBS,8 Years,"Rs. 1,200",FCPS (ENT),Under 15 Min,110,98%,Lahore
Dr. Moazzam Ali,"ENT Specialist, ENT Surgeon",MBBS,10 Years,"Rs. 1,000",MCPS,Under 15 Min,653,98%,Lahore
Dr. Sohail Saqlain,"ENT Specialist, ENT Surgeon",MBBS,38 Years,"Rs. 2,500","MCPS (ENT),  MS (HM) UK,   MPH (Austrailia),  FHSPH (USA)",Under 15 Min,587,99%,Lahore
Assoc. Prof. Dr. Najaf Abbas,"ENT Specialist, ENT Surgeon",M.B.B.S,16 Years,"Rs. 1,500",F.C.P.S (ENT),Under 15 Min,676,99%,Lahore
Dr. Faisal Rafiq,"ENT Specialist, ENT Surgeon",MBBS,15 Years,"Rs. 3,000","FCPS (ENT),  MCPS (ENT)",15 - 30 Min,6,100%,Lahore
Prof. Dr. Athar Adnan Uppal,"ENT Specialist, ENT Surgeon",MBBS,20 Years,"Rs. 2,000",F.C.P.S. ( Oto-Rhino-Laryngology ),Under 15 Min,402,99%,Lahore
Dr. Abdul Shakoor,"ENT Specialist, Head and Neck Surgeon, ENT Surgeon",M.B.B.S,10 Years,Not Available,F.C.P.S (ENT Head & Neck Surgery),Under 15 Min,53,98%,Lahore
Dr. Muhammad Atiq U Rehman,"ENT Specialist, ENT Surgeon",M.B.B.S,13 Years,"Rs. 3,000",F.C.P.S.(Oto-Rhino-Laryngology),Under 15 Min,63,100%,Lahore
Dr. Shoukat Ali,"ENT Specialist, Eye Surgeon",MBBS,43 Years,"Rs. 5,000",MCPS,Under 15 Min,8,100%,Lahore
Assist. Prof. Dr. Muhammad Umair Wahab,"ENT Specialist, ENT Surgeon",M.B.B.S.,10 Years,"Rs. 2,000",F.C.P.S. (ENT),Under 15 Min,212,98%,Lahore
Dr. Nasir Riaz,"ENT Specialist, ENT Surgeon",MBBS,10 Years,"Rs. 2,000",FCPS,Under 15 Min,628,100%,Lahore
Dr. Saira Zaman,"ENT Specialist, ENT Surgeon",MBBS,14 Years,"Rs. 4,000",. F.C.P.S. ( Oto-Rhino-Laryngology ),Under 15 Min,283,99%,Lahore
Prof. Dr. Imran Saeed,"ENT Specialist, ENT Surgeon",M.B.B.S.,20 Years,"Rs. 3,500","F.C.P.S. (Oto-Rhino-Laryngology).,  M.Sc (Medical Education)",Under 15 Min,359,99%,Lahore
Assist. Prof. Dr. Waqas Javaid Cheema,"ENT Specialist, ENT Surgeon",F.C.P.S (ENT),16 Years,"Rs. 2,000",M.B.B.S.,Under 15 Min,484,99%,Lahore
Assist. Prof. Dr. Mujahid Ali,"ENT Specialist, ENT Surgeon",M.B.B.S,4 Years,"Rs. 2,500",F.C.P.S (ENT),Under 15 Min,30,93%,Lahore
Prof. Dr. Zafar Iqbal,"ENT Specialist, ENT Surgeon",M.B.B.S.,20 Years,"Rs. 3,000",F.C.P.S. ( Oto-Rhino-Laryngology ),Under 15 Min,532,99%,Lahore
Dr. Arshad Ullah Afridi,"ENT Specialist, ENT Surgeon",MBBS,12 Years,"Rs. 2,300",FCPS (Oto-Rhino-Laryngology),15 - 30 Min,58,97%,Lahore
Prof. Dr. Shiraz Aslam,"ENT Specialist, ENT Surgeon",MBBS,32 Years,"Rs. 2,000","F.R.C.S,  F.A.C.S",Under 15 Min,402,97%,Lahore
Assist. Prof. Dr. Tarique Ali Sheikh,"ENT Specialist, Head and Neck Surgeon, ENT Surgeon",M.B.B.S,15 Years,"Rs. 2,000",F.C.P.S (ENT),15 - 30 Min,757,98%,Lahore
Prof. Dr. Muhammad Arif Tarar,"ENT Specialist, ENT Surgeon",MBBS,35 Years,"Rs. 3,000",FRCSEd - Otolaryngology,15 - 30 Min,222,97%,Lahore
Assist. Prof. Dr. Syed Muzahir Hussain,"ENT Specialist, ENT Surgeon",M.B.B.S.,34 Years,"Rs. 1,500","F.R.C.S (Ireland),  F.R.C.S (UK)",15 - 30 Min,597,99%,Lahore
Assoc. Prof. Dr. Muhammad Mubarak Ali,"ENT Specialist, ENT Surgeon",M.B.B.S.,30 Years,Not Available,"F.C.P.S.,  FRCS (Ireland),  FICS (USA),  DLO,  MCPS",Under 15 Min,239,98%,Lahore
Dr. Tahir Ayub,"ENT Specialist, ENT Surgeon",MBBS,20 Years,Not Available,FCPS (Surgery),15 - 30 Min,13,100%,Lahore
Dr. Sabih Nadeem Qamar,"ENT Specialist, ENT Surgeon",MBBS,"88%
                                                                                    (13)",Not Available,FCPS,6 Years,13,,Lahore
Assist. Prof. Dr. Muhammad Awais Amin,"ENT Specialist, ENT Surgeon",M.B.B.S.,15 Years,Not Available,FCPS (Otorhinolaryngology & Head and Neck Surgery),Under 15 Min,555,99%,Lahore
Dr. Shahid Hussain,"ENT Specialist, ENT Surgeon",MBBS,"100%
                                                                                    (10)",Not Available,"FCPS,",Under 15 Min,10,,Lahore
Dr. Muhammad Naeem,"ENT Surgeon, ENT Specialist",M.B.B.S,22 Years,Not Available,F.C.P.S,Under 15 Min,20,95%,Lahore
Dr. Muhammad Ilyas,"ENT Specialist, ENT Surgeon",M.B.B.S,13 Years,Not Available,"D.L.O,  F.C.P.S",Under 15 Min,107,98%,Lahore
Dr. Muaaz Ahmed,"ENT Specialist, Head and Neck Surgeon, ENT Surgeon",M.B.B.S,11 Years,Not Available,M.C.P.S (ENT),Under 15 Min,103,100%,Lahore
Prof. Dr. Irshad Malik,"ENT Specialist, ENT Surgeon",MBBS,15 Years,Not Available,"FCPS (ENT),  MCPS (ENT)",Under 15 Min,396,100%,Lahore
Dr. Sana Nadeem,"ENT Specialist, ENT Surgeon",M.B.B.S,10 Years,Not Available,F.C.P.S,15 - 30 Min,40,100%,Lahore
Dr. Samar Zehra,"ENT Specialist, ENT Surgeon",M.B.B.S.,11 Years,Not Available,D.L.O.(Oto.Rhino-Laryngology),Under 15 Min,106,100%,Lahore
Assist. Prof. Dr. Mazhar Iftikhar,"ENT Specialist, ENT Surgeon",M.B.B.S,13 Years,Not Available,F.C.P.S (ENT),Under 15 Min,47,100%,Lahore
Prof. Dr. Muhammad Saeed Gohar,"ENT Specialist, ENT Surgeon",M.B.B.S.,26 Years,Not Available,F.C.P.S. (Oto-Rhino-Laryngology),Under 15 Min,174,97%,Lahore
Dr. Babur Riaz,ENT Specialist,MBBS,16 Years,Not Available,"DLO,  M.S",Under 15 Min,18,100%,Lahore
Prof. Dr. Sami Mumtaz,"ENT Specialist, ENT Surgeon",M.B.B.S,25 Years,Not Available,F.R.C.S (UK),Under 15 Min,366,99%,Lahore
Dr. Kamran Chaudhry,"ENT Specialist, ENT Surgeon",MBBS,26 Years,Not Available,FCPS,Under 15 Min,58,98%,Lahore
Prof. Dr. Muhammad Amjad,"ENT Specialist, ENT Surgeon",MBBS,32 Years,Not Available,FCPS,Under 15 Min,148,95%,Lahore
Prof. Dr. Khalid Cheema,"ENT Surgeon, ENT Specialist",MBBS,"99%
                                                                                    (83)",Not Available,FCPS,25 Years,83,,Lahore
Prof. Dr. Taimoor Latif Malik,"ENT Specialist, ENT Surgeon",M.B.B.S.,20 Years,Not Available,"F.C.P.S. (ENT),  F.I.C.S",Under 15 Min,31,96%,Lahore
Dr. Muhammad Iqbal,"ENT Specialist, ENT Surgeon",M.B.B.S.,26 Years,Not Available,"MCPS (ENT),  FCPS (ENT)",Under 15 Min,44,100%,Lahore
Dr. Abdul Saeed Khan,"ENT Specialist, ENT Surgeon",MBBS,13 Years,Not Available,FCPS (ENT),15 - 30 Min,78,95%,Lahore
Dr. Javaid Iqbal,"ENT Specialist, ENT Surgeon",MBBS,12 Years,Not Available,"DLO,  FCPS",Under 15 Min,78,98%,Lahore
Dr. Damish Arsalan,"ENT Specialist, ENT Surgeon",M.B.B.S.,11 Years,Not Available,F.C.P.S.( ENT),Under 15 Min,43,98%,Lahore
Prof. Dr. M. Rashid Zia,"Head and Neck Surgeon, ENT Specialist",M.B.B.S,24 Years,Not Available,F.C.P.S,15 - 30 Min,75,95%,Lahore
Prof. Dr. Tahir Rashid,"ENT Specialist, ENT Surgeon",MBBS,33 Years,Not Available,"MCPS (ORL),  FCPS (Pak),  FICS (USA),  FEBORL-HNS (EU)",Under 15 Min,84,95%,Lahore
Dr. Tariq Abbasi,"ENT Specialist, ENT Surgeon",M.B.B.S,3 Years,Not Available,F.C.P.S,Under 15 Min,5,83%,Lahore
Dr. Maj. (R) Mohammad Khalid,"ENT Specialist, ENT Surgeon",M.B.B.S.,41 Years,Not Available,MCPS (ENT),Under 15 Min,67,97%,Lahore
Dr. Muhammad Awais Samee,"ENT Specialist, ENT Surgeon",MBBS,9 Years,Not Available,FCPS (ENT),15 - 30 Min,35,100%,Lahore
Dr. Talat Mahmood,"ENT Specialist, ENT Surgeon",MBBS,"88%
                                                                                    (28)",Not Available,"FCPS (ENT),  MCPS (ENT)",38 Years,28,,Lahore
Dr. Abdur Rehman,"ENT Specialist, ENT Surgeon",MBBS,"100%
                                                                                    (22)",Not Available,FCPS (ENT),21 Years,22,,Lahore
Dr. Khurshid Alam,"ENT Specialist, ENT Surgeon",MBBS,30 Years,Not Available,FRCS (Ed.),15 - 30 Min,608,98%,Lahore
Dr. Ayesha Shafi,"ENT Specialist, ENT Surgeon",M.B.B.S,15 Years,Not Available,F.C.P.S. (ENT),Under 15 Min,16,100%,Lahore
Dr. Waseem Mohammad Amin,"ENT Specialist, ENT Surgeon",M.D,17 Years,Not Available,"M.S ( Ear,  Nose & Throat )",15 - 30 Min,45,96%,Lahore
Prof. Dr. Ahmad Rohail,"ENT Specialist, ENT Surgeon",MBBS,29 Years,Not Available,FCPS,Under 15 Min,70,98%,Lahore
Dr. Ahmed Hassan,"ENT Specialist, ENT Surgeon",M.B.B.S,7 Years,Not Available,F.C.P.S.(Oto-Rhino-Laryngology),Under 15 Min,6,100%,Lahore
Dr. Israr Ahmed,ENT Specialist,M.B.B.S,7 Years,Not Available,F.C.P.S (ENT),33 Years,not available,100%,Lahore
Dr.  Khurshid Anwar Mian,ENT Specialist,MBBS,7 Years,Not Available,"DLO,  FICS (USA)",not available,not available,100%,Lahore
Dr. Javed Iqbal,ENT Specialist,MBBS,7 Years,Not Available,"FCPS,  FACS",20 Years,not available,100%,Lahore
Prof. Dr. Talat Mehmood,"ENT Specialist, ENT Surgeon",MBBS,7 Years,Not Available,"MCPS,  FCPS (ENT)",not available,not available,100%,Lahore
Dr. Nokhbat Ullah Awan,"ENT Specialist, ENT Surgeon",MBBS,7 Years,Not Available,FCPS,not available,not available,100%,Lahore
Dr. Ahmad Shakeel Rizvi,ENT Specialist,MBBS,7 Years,Not Available,MS,not available,not available,100%,Lahore
Dr. Tahir Hussain,ENT Specialist,MBBS,7 Years,Not Available,"DLO,  FRCS",not available,not available,100%,Lahore
Dr. Ehsan Ali,ENT Specialist,MBBS,7 Years,Not Available,DLO,not available,not available,100%,Lahore
Dr. Ihsan Ali,ENT Specialist,MBBS,7 Years,Not Available,FCPS,not available,not available,100%,Lahore
Dr. Qazi Ahsan Azeem,ENT Specialist,,7 Years,Not Available,,not available,not available,100%,Lahore
Dr. Kashif Iqbal Malik,"ENT Surgeon, ENT Specialist",MBBS,7 Years,Not Available,"FCPS (Surgery),  FRCOG (Ireland)",27 Years,not available,100%,Lahore
Dr. Sarfraz Latif,ENT Specialist,MBBS,7 Years,Not Available,"BSC,  FCPS",not available,not available,100%,Lahore
Dr. Muhammad Ishaque,ENT Specialist,MBBS,7 Years,Not Available,"FCPS (ENT),  DOHNS (Ed.)",not available,not available,100%,Lahore
Prof. Dr. Muhammad Tariq,ENT Specialist,FRCS DLO (England) MHA,7 Years,Not Available,,not available,not available,100%,Lahore
Prof. Dr. Muhammad Mujeeb,"ENT Surgeon, ENT Specialist",MBBS,7 Years,Not Available,"FRCS,  MCPS,  FCPS",24 Years,not available,100%,Lahore
Dr. Ghulam Murtaza,ENT Specialist,MBBS,7 Years,Not Available,"FCPS,  D.L.O,  BSc",not available,not available,100%,Lahore
Dr. Khalid Munir Cheema,"ENT Specialist, ENT Surgeon",MBBS,7 Years,Not Available,"DLO,  FCPS",not available,not available,100%,Lahore
Dr. Malik Masood Ahmad,"ENT Specialist, ENT Surgeon",MBBS,"100%
                                                                                    (3)",Not Available,"DLO,  FCPS",34 Years,3,,Lahore
Dr. Muhammad Farooq Khan,ENT Specialist,MBBS,"100%
                                                                                    (3)",Not Available,FCPS,not available,not available,,Lahore
Prof. Dr. Najam ul Hasnain,"ENT Surgeon, ENT Specialist",MBBS,"100%
                                                                                    (3)",Not Available,FCPS,24 Years,not available,,Lahore
Dr. Tariq Enver,ENT Specialist,F.C.P.S,"100%
                                                                                    (3)",Not Available,"F.R.C.S,  M.B., B.S,  M.C.P.S.",not available,not available,,Lahore
Dr. Muhammad Akhlaq,ENT Specialist,MBBS,"100%
                                                                                    (3)",Not Available,"FCPS, DLO",not available,not available,,Lahore
